Kabupaten_Kota;TB;DM
Cilacap;5928;33842
Banyumas;10189;23858
Purbalingga;3929;12560
Banjarnegar;5665;14688
Kebumen;6023;13044
Purwokerto;3991;6849
Wonosobo;2941;5396
Magelang;2913;18249
Boyolali;4149;16302
Klaten;4094;37485
Sukoharjo;2340;17746
Wonogiri;3619;17749
Karanganyar;2396;11670
Sragen;2151;20234
Grobogan;4315;20329
Blora;2710;11941
Rembang;2390;15667
Pati;4082;33467
Kudus;3629;17710
Jepara;4002;30291
Demak;6062;18529
Semarang;2652;11571
Temanggung;2378;10448
Kendal;4329;18892
Batang;3402;10080
Pekalongan;9475;14793
Pemalang;4547;77843
Tegal;6323;14229
Brebes;9090;20572
Magelang kota;2706;2886
Surakarta kota;4454;17321
Salatiga kota;835;5764
Semarang kota;7548;40303
Pekalongan kota;4158;6533
Tegal kota;4647;7014
