Kabupaten_Kota;TB;DM
Pacitan;288;7761
Ponorogo;904;15396
Trenggalek;402;15676
Tulungagung;821;16285
Blitas;641;23664
Kediri;1542;31859
Malang;1828;35955
Lumajang;1129;21374
Jember;3047;35951
Banyuwangi;2005;33974
Bondowoso;892;12392
Situbondo;977;17048
Probolinggo;1165;21852
Pasuruan;1770;5586
Sidoarjo;2520;73559
Mojokerto;1080;89200
Jombang;1288;34261
Nganjuk;719;21393
Madiun;590;14499
Magetan;472;13262
Ngawi;755;26566
Bojonegoro;1431;22877
Tuban;1286;15708
Lamongan;1495;21992
Gresik;1463;43539
Bangkalan;999;13670
Sampang;818;10806
Pamekasan;729;10172
Sumenep;1612;10049
Kediri kota;578;7732
Blitar kota;238;4113
Malang kota;1377;21697
Probolinggo kota;348;8144
Pasuruan kota;521;5637
Mojokerto kota;330;4936
Madiun kota;526;7975
Surabaya kota;4151;94624
Batu kota;185;4561
